"ntree" "mtry" "region" "year" "accuracy"
"400" "5" "1" "1999" "0.9296"
"800" "5" "1" "1999" "0.9333"
"100" "10" "1" "1999" "0.9257"
"200" "10" "1" "1999" "0.9376"
"400" "10" "1" "1999" "0.946"
"800" "10" "1" "1999" "0.9327"
"100" "20" "1" "1999" "0.9337"
"200" "20" "1" "1999" "0.9351"
"400" "20" "1" "1999" "0.9414"
"800" "20" "1" "1999" "0.9364"
"100" "40" "1" "1999" "0.9412"
"200" "40" "1" "1999" "0.9423"
"400" "40" "1" "1999" "0.9369"
"800" "40" "1" "1999" "0.9377"
"100" "5" "1" "2000" "0.9415"
"200" "5" "1" "2000" "0.939"
"400" "5" "1" "2000" "0.9337"
"800" "5" "1" "2000" "0.9332"
"100" "10" "1" "2000" "0.9406"
"200" "10" "1" "2000" "0.9447"
"400" "10" "1" "2000" "0.9366"
"800" "10" "1" "2000" "0.9384"
"100" "20" "1" "2000" "0.9451"
"200" "20" "1" "2000" "0.9391"
"400" "20" "1" "2000" "0.9333"
"800" "20" "1" "2000" "0.9446"
"100" "40" "1" "2000" "0.9359"
"200" "40" "1" "2000" "0.939"
"400" "40" "1" "2000" "0.9402"
"800" "40" "1" "2000" "0.9444"
"100" "5" "1" "2001" "0.9416"
"200" "5" "1" "2001" "0.9322"
"400" "5" "1" "2001" "0.9378"
"800" "5" "1" "2001" "0.9395"
"100" "10" "1" "2001" "0.9374"
"200" "10" "1" "2001" "0.9336"
"400" "10" "1" "2001" "0.9334"
"800" "10" "1" "2001" "0.9468"
"100" "20" "1" "2001" "0.9414"
"200" "20" "1" "2001" "0.9479"
"400" "20" "1" "2001" "0.9392"
"800" "20" "1" "2001" "0.9409"
"100" "40" "1" "2001" "0.9463"
"200" "40" "1" "2001" "0.9378"
"400" "40" "1" "2001" "0.9414"
"800" "40" "1" "2001" "0.9452"
"100" "5" "1" "2002" "0.9335"
"200" "5" "1" "2002" "0.9362"
"400" "5" "1" "2002" "0.9392"
"800" "5" "1" "2002" "0.9448"
"100" "10" "1" "2002" "0.9402"
"200" "10" "1" "2002" "0.9474"
"400" "10" "1" "2002" "0.9477"
"800" "10" "1" "2002" "0.9434"
"100" "20" "1" "2002" "0.9431"
"200" "20" "1" "2002" "0.9404"
"400" "20" "1" "2002" "0.9461"
"800" "20" "1" "2002" "0.9407"
"100" "40" "1" "2002" "0.9396"
"200" "40" "1" "2002" "0.9502"
"400" "40" "1" "2002" "0.9462"
"800" "40" "1" "2002" "0.9476"
"100" "5" "1" "2003" "0.9351"
"200" "5" "1" "2003" "0.9344"
"400" "5" "1" "2003" "0.9364"
"800" "5" "1" "2003" "0.9298"
"100" "10" "1" "2003" "0.9415"
"200" "10" "1" "2003" "0.9413"
"400" "10" "1" "2003" "0.9445"
"800" "10" "1" "2003" "0.9381"
"100" "20" "1" "2003" "0.9421"
"200" "20" "1" "2003" "0.939"
"400" "20" "1" "2003" "0.945"
"800" "20" "1" "2003" "0.9396"
"100" "40" "1" "2003" "0.9415"
"200" "40" "1" "2003" "0.9319"
"400" "40" "1" "2003" "0.9423"
"800" "40" "1" "2003" "0.9393"
"100" "5" "1" "2004" "0.9384"
"200" "5" "1" "2004" "0.9336"
"400" "5" "1" "2004" "0.9408"
"800" "5" "1" "2004" "0.9394"
"100" "10" "1" "2004" "0.944"
"200" "10" "1" "2004" "0.9399"
"400" "10" "1" "2004" "0.9398"
"800" "10" "1" "2004" "0.9495"
"100" "20" "1" "2004" "0.9405"
"200" "20" "1" "2004" "0.9449"
"400" "20" "1" "2004" "0.9412"
"800" "20" "1" "2004" "0.9495"
"100" "40" "1" "2004" "0.9398"
"200" "40" "1" "2004" "0.936"
"400" "40" "1" "2004" "0.9379"
"800" "40" "1" "2004" "0.9431"
"100" "5" "1" "2005" "0.9333"
"200" "5" "1" "2005" "0.9411"
"400" "5" "1" "2005" "0.9408"
"800" "5" "1" "2005" "0.9338"
"100" "10" "1" "2005" "0.9401"
"200" "10" "1" "2005" "0.939"
"400" "10" "1" "2005" "0.9384"
"800" "10" "1" "2005" "0.937"
"100" "20" "1" "2005" "0.9346"
"200" "20" "1" "2005" "0.9314"
"400" "20" "1" "2005" "0.9408"
"800" "20" "1" "2005" "0.9421"
"100" "40" "1" "2005" "0.9341"
"200" "40" "1" "2005" "0.9364"
"400" "40" "1" "2005" "0.9324"
"800" "40" "1" "2005" "0.9478"
"100" "5" "1" "2006" "0.9388"
"200" "5" "1" "2006" "0.9378"
"400" "5" "1" "2006" "0.935"
"800" "5" "1" "2006" "0.9242"
"100" "10" "1" "2006" "0.9385"
"200" "10" "1" "2006" "0.9328"
"400" "10" "1" "2006" "0.9301"
"800" "10" "1" "2006" "0.9384"
"100" "20" "1" "2006" "0.9327"
"200" "20" "1" "2006" "0.9351"
"400" "20" "1" "2006" "0.9468"
"800" "20" "1" "2006" "0.9411"
"100" "40" "1" "2006" "0.938"
"200" "40" "1" "2006" "0.9412"
"400" "40" "1" "2006" "0.9384"
"800" "40" "1" "2006" "0.9464"
"100" "5" "1" "2007" "0.9364"
"200" "5" "1" "2007" "0.9369"
"400" "5" "1" "2007" "0.9438"
"800" "5" "1" "2007" "0.9442"
"100" "10" "1" "2007" "0.941"
"200" "10" "1" "2007" "0.9397"
"400" "10" "1" "2007" "0.9401"
"800" "10" "1" "2007" "0.9401"
"100" "20" "1" "2007" "0.9369"
"200" "20" "1" "2007" "0.9457"
"400" "20" "1" "2007" "0.9397"
"800" "20" "1" "2007" "0.9472"
"100" "40" "1" "2007" "0.9504"
"200" "40" "1" "2007" "0.9407"
"400" "40" "1" "2007" "0.9437"
"800" "40" "1" "2007" "0.9371"
"100" "5" "1" "2008" "0.938"
"200" "5" "1" "2008" "0.9444"
"400" "5" "1" "2008" "0.9436"
"800" "5" "1" "2008" "0.9469"
"100" "10" "1" "2008" "0.9546"
"200" "10" "1" "2008" "0.9548"
"400" "10" "1" "2008" "0.944"
"800" "10" "1" "2008" "0.9484"
"100" "20" "1" "2008" "0.9437"
"200" "20" "1" "2008" "0.9476"
"400" "20" "1" "2008" "0.9558"
"800" "20" "1" "2008" "0.9525"
"100" "40" "1" "2008" "0.9491"
"200" "40" "1" "2008" "0.9417"
"400" "40" "1" "2008" "0.952"
"800" "40" "1" "2008" "0.9445"
"100" "5" "1" "2009" "0.9204"
"200" "5" "1" "2009" "0.9154"
"400" "5" "1" "2009" "0.9202"
"800" "5" "1" "2009" "0.9187"
"100" "10" "1" "2009" "0.9327"
"200" "10" "1" "2009" "0.9389"
"400" "10" "1" "2009" "0.9337"
"800" "10" "1" "2009" "0.932"
"100" "20" "1" "2009" "0.9286"
"200" "20" "1" "2009" "0.9247"
"400" "20" "1" "2009" "0.9313"
"800" "20" "1" "2009" "0.9301"
"100" "40" "1" "2009" "0.9283"
"200" "40" "1" "2009" "0.9336"
"400" "40" "1" "2009" "0.9319"
"800" "40" "1" "2009" "0.943"
"100" "5" "1" "2010" "0.9293"
"200" "5" "1" "2010" "0.9425"
"400" "5" "1" "2010" "0.9239"
"800" "5" "1" "2010" "0.9311"
"100" "10" "1" "2010" "0.9413"
"200" "10" "1" "2010" "0.9349"
"400" "10" "1" "2010" "0.9265"
