system:index,area,class_id,file,territory,year,.geo
0_8_2,3794380.206026511,11,CERRADO_col7_gapfill_incidence_temporal_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,383029.6273630898,12,CERRADO_col7_gapfill_incidence_temporal_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,1479670.0348562798,21,CERRADO_col7_gapfill_incidence_temporal_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,57365.071059435955,25,CERRADO_col7_gapfill_incidence_temporal_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,133292.93876623627,33,CERRADO_col7_gapfill_incidence_temporal_v1,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,2261230.1241637724,3,CERRADO_col7_gapfill_incidence_temporal_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,5727875.95774655,4,CERRADO_col7_gapfill_incidence_temporal_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,126240.99910762408,11,CERRADO_col7_gapfill_incidence_temporal_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,508422.90953681257,12,CERRADO_col7_gapfill_incidence_temporal_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,4881442.140089143,21,CERRADO_col7_gapfill_incidence_temporal_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,99115.76636818842,25,CERRADO_col7_gapfill_incidence_temporal_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,33038.845167243286,33,CERRADO_col7_gapfill_incidence_temporal_v1,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,296529.46833662735,3,CERRADO_col7_gapfill_incidence_temporal_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,2187989.978542334,4,CERRADO_col7_gapfill_incidence_temporal_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,55687.87132119757,11,CERRADO_col7_gapfill_incidence_temporal_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,1119011.077120533,12,CERRADO_col7_gapfill_incidence_temporal_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_4,1361291.0755952555,21,CERRADO_col7_gapfill_incidence_temporal_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_5,52301.220258416615,25,CERRADO_col7_gapfill_incidence_temporal_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_6,4005.216953521733,33,CERRADO_col7_gapfill_incidence_temporal_v1,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,767661.1616634391,3,CERRADO_col7_gapfill_incidence_temporal_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,4731453.687884361,4,CERRADO_col7_gapfill_incidence_temporal_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,91182.04711261542,11,CERRADO_col7_gapfill_incidence_temporal_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_3,159932.11618363272,12,CERRADO_col7_gapfill_incidence_temporal_v1,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
