"","Prediction","Reference","Freq","region","year","file"
"139","25","12",0,5,1985,"mapbiomas_collection70_integration_v2"
"140","33","12",0,5,1985,"mapbiomas_collection70_integration_v2"
"141","3","21",5,5,1985,"mapbiomas_collection70_integration_v2"
"142","4","21",21,5,1985,"mapbiomas_collection70_integration_v2"
"143","12","21",1,5,1985,"mapbiomas_collection70_integration_v2"
"144","21","21",19,5,1985,"mapbiomas_collection70_integration_v2"
"145","25","21",0,5,1985,"mapbiomas_collection70_integration_v2"
"146","33","21",0,5,1985,"mapbiomas_collection70_integration_v2"
"147","3","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"148","4","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"149","12","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"150","21","25",1,5,1985,"mapbiomas_collection70_integration_v2"
"151","25","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"152","33","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"153","3","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"154","4","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"155","12","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"156","21","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"157","25","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"158","33","33",6,5,1985,"mapbiomas_collection70_integration_v2"
"159","3","3",161,6,1985,"mapbiomas_collection70_integration_v2"
"160","4","3",11,6,1985,"mapbiomas_collection70_integration_v2"
"161","12","3",1,6,1985,"mapbiomas_collection70_integration_v2"
"162","21","3",13,6,1985,"mapbiomas_collection70_integration_v2"
"163","25","3",0,6,1985,"mapbiomas_collection70_integration_v2"
"164","33","3",0,6,1985,"mapbiomas_collection70_integration_v2"
"165","3","4",55,6,1985,"mapbiomas_collection70_integration_v2"
"166","4","4",197,6,1985,"mapbiomas_collection70_integration_v2"
"167","12","4",23,6,1985,"mapbiomas_collection70_integration_v2"
"168","21","4",54,6,1985,"mapbiomas_collection70_integration_v2"
"169","25","4",0,6,1985,"mapbiomas_collection70_integration_v2"
"170","33","4",0,6,1985,"mapbiomas_collection70_integration_v2"
"171","3","12",5,6,1985,"mapbiomas_collection70_integration_v2"
"172","4","12",17,6,1985,"mapbiomas_collection70_integration_v2"
"173","12","12",5,6,1985,"mapbiomas_collection70_integration_v2"
"174","21","12",7,6,1985,"mapbiomas_collection70_integration_v2"
"175","25","12",0,6,1985,"mapbiomas_collection70_integration_v2"
"176","33","12",0,6,1985,"mapbiomas_collection70_integration_v2"
"177","3","21",13,6,1985,"mapbiomas_collection70_integration_v2"
"178","4","21",13,6,1985,"mapbiomas_collection70_integration_v2"
"179","12","21",0,6,1985,"mapbiomas_collection70_integration_v2"
"180","21","21",78,6,1985,"mapbiomas_collection70_integration_v2"
"181","25","21",0,6,1985,"mapbiomas_collection70_integration_v2"
"182","33","21",0,6,1985,"mapbiomas_collection70_integration_v2"
"183","3","25",0,6,1985,"mapbiomas_collection70_integration_v2"
"184","4","25",0,6,1985,"mapbiomas_collection70_integration_v2"
"185","12","25",0,6,1985,"mapbiomas_collection70_integration_v2"
"186","21","25",1,6,1985,"mapbiomas_collection70_integration_v2"
"187","25","25",0,6,1985,"mapbiomas_collection70_integration_v2"
"188","33","25",0,6,1985,"mapbiomas_collection70_integration_v2"
"189","3","33",0,6,1985,"mapbiomas_collection70_integration_v2"
"190","4","33",0,6,1985,"mapbiomas_collection70_integration_v2"
"191","12","33",0,6,1985,"mapbiomas_collection70_integration_v2"
"192","21","33",0,6,1985,"mapbiomas_collection70_integration_v2"
"193","25","33",0,6,1985,"mapbiomas_collection70_integration_v2"
"194","33","33",4,6,1985,"mapbiomas_collection70_integration_v2"
"195","3","3",48,7,1985,"mapbiomas_collection70_integration_v2"
"196","4","3",24,7,1985,"mapbiomas_collection70_integration_v2"
"197","12","3",0,7,1985,"mapbiomas_collection70_integration_v2"
"198","21","3",0,7,1985,"mapbiomas_collection70_integration_v2"
"199","25","3",0,7,1985,"mapbiomas_collection70_integration_v2"
"200","3","4",45,7,1985,"mapbiomas_collection70_integration_v2"
"201","4","4",661,7,1985,"mapbiomas_collection70_integration_v2"
"202","12","4",11,7,1985,"mapbiomas_collection70_integration_v2"
"203","21","4",12,7,1985,"mapbiomas_collection70_integration_v2"
"204","25","4",0,7,1985,"mapbiomas_collection70_integration_v2"
"205","3","12",1,7,1985,"mapbiomas_collection70_integration_v2"
"206","4","12",62,7,1985,"mapbiomas_collection70_integration_v2"
"207","12","12",4,7,1985,"mapbiomas_collection70_integration_v2"
"208","21","12",16,7,1985,"mapbiomas_collection70_integration_v2"
"209","25","12",0,7,1985,"mapbiomas_collection70_integration_v2"
"210","3","21",0,7,1985,"mapbiomas_collection70_integration_v2"
"211","4","21",13,7,1985,"mapbiomas_collection70_integration_v2"
"212","12","21",0,7,1985,"mapbiomas_collection70_integration_v2"
"213","21","21",4,7,1985,"mapbiomas_collection70_integration_v2"
"214","25","21",0,7,1985,"mapbiomas_collection70_integration_v2"
"215","3","25",0,7,1985,"mapbiomas_collection70_integration_v2"
"216","4","25",0,7,1985,"mapbiomas_collection70_integration_v2"
"217","12","25",0,7,1985,"mapbiomas_collection70_integration_v2"
"218","21","25",1,7,1985,"mapbiomas_collection70_integration_v2"
"219","25","25",0,7,1985,"mapbiomas_collection70_integration_v2"
"220","3","3",72,8,1985,"mapbiomas_collection70_integration_v2"
"221","4","3",17,8,1985,"mapbiomas_collection70_integration_v2"
"222","12","3",0,8,1985,"mapbiomas_collection70_integration_v2"
"223","21","3",0,8,1985,"mapbiomas_collection70_integration_v2"
"224","25","3",0,8,1985,"mapbiomas_collection70_integration_v2"
"225","33","3",0,8,1985,"mapbiomas_collection70_integration_v2"
"226","3","4",36,8,1985,"mapbiomas_collection70_integration_v2"
"227","4","4",280,8,1985,"mapbiomas_collection70_integration_v2"
"228","12","4",49,8,1985,"mapbiomas_collection70_integration_v2"
