"","value","variable","region","year","file"
"Accuracy13",0.661302681992337,"Accuracy",14,1985,"mapbiomas_collection60_integration_v1"
"Kappa13",0.419281766287112,"Kappa",14,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower13",0.634901069986277,"AccuracyLower",14,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper13",0.686975556232653,"AccuracyUpper",14,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull13",0.542528735632184,"AccuracyNull",14,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue13",1.88429607925226e-18,"AccuracyPValue",14,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue13",NA,"McnemarPValue",14,1985,"mapbiomas_collection60_integration_v1"
"Class: 314",0.795709703287891,"Class: 3",14,1985,"mapbiomas_collection60_integration_v1"
"Class: 413",0.681191976833319,"Class: 4",14,1985,"mapbiomas_collection60_integration_v1"
"Class: 1213",0.638649861310432,"Class: 12",14,1985,"mapbiomas_collection60_integration_v1"
"Class: 2113",0.848453980970308,"Class: 21",14,1985,"mapbiomas_collection60_integration_v1"
"Class: 259",0.5,"Class: 25",14,1985,"mapbiomas_collection60_integration_v1"
"Class: 3311",0.999616564417178,"Class: 33",14,1985,"mapbiomas_collection60_integration_v1"
"Accuracy14",0.66916354556804,"Accuracy",15,1985,"mapbiomas_collection60_integration_v1"
"Kappa14",0.532163291574465,"Kappa",15,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower14",0.635377853556102,"AccuracyLower",15,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper14",0.701698255186111,"AccuracyUpper",15,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull14",0.430711610486891,"AccuracyNull",15,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue14",3.82579516471988e-42,"AccuracyPValue",15,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue14",NA,"McnemarPValue",15,1985,"mapbiomas_collection60_integration_v1"
"Class: 315",0.807850229240958,"Class: 3",15,1985,"mapbiomas_collection60_integration_v1"
"Class: 414",0.695934275376346,"Class: 4",15,1985,"mapbiomas_collection60_integration_v1"
"Class: 1214",0.726661497563137,"Class: 12",15,1985,"mapbiomas_collection60_integration_v1"
"Class: 2114",0.835421434019832,"Class: 21",15,1985,"mapbiomas_collection60_integration_v1"
"Class: 2510",0.5,"Class: 25",15,1985,"mapbiomas_collection60_integration_v1"
