"","Prediction","Reference","Freq","region","year","file"
"124","25","4",0,5,1985,"CERRADO_col7_gapfill_v1"
"125","33","4",0,5,1985,"CERRADO_col7_gapfill_v1"
"126","3","12",0,5,1985,"CERRADO_col7_gapfill_v1"
"127","4","12",52,5,1985,"CERRADO_col7_gapfill_v1"
"128","12","12",10,5,1985,"CERRADO_col7_gapfill_v1"
"129","21","12",17,5,1985,"CERRADO_col7_gapfill_v1"
"130","25","12",0,5,1985,"CERRADO_col7_gapfill_v1"
"131","33","12",1,5,1985,"CERRADO_col7_gapfill_v1"
"132","3","21",4,5,1985,"CERRADO_col7_gapfill_v1"
"133","4","21",17,5,1985,"CERRADO_col7_gapfill_v1"
"134","12","21",2,5,1985,"CERRADO_col7_gapfill_v1"
"135","21","21",14,5,1985,"CERRADO_col7_gapfill_v1"
"136","25","21",0,5,1985,"CERRADO_col7_gapfill_v1"
"137","33","21",0,5,1985,"CERRADO_col7_gapfill_v1"
"138","3","25",0,5,1985,"CERRADO_col7_gapfill_v1"
"139","4","25",1,5,1985,"CERRADO_col7_gapfill_v1"
"140","12","25",0,5,1985,"CERRADO_col7_gapfill_v1"
"141","21","25",2,5,1985,"CERRADO_col7_gapfill_v1"
"142","25","25",0,5,1985,"CERRADO_col7_gapfill_v1"
"143","33","25",0,5,1985,"CERRADO_col7_gapfill_v1"
"144","3","33",0,5,1985,"CERRADO_col7_gapfill_v1"
"145","4","33",0,5,1985,"CERRADO_col7_gapfill_v1"
"146","12","33",0,5,1985,"CERRADO_col7_gapfill_v1"
"147","21","33",0,5,1985,"CERRADO_col7_gapfill_v1"
"148","25","33",0,5,1985,"CERRADO_col7_gapfill_v1"
"149","33","33",5,5,1985,"CERRADO_col7_gapfill_v1"
"150","3","3",166,6,1985,"CERRADO_col7_gapfill_v1"
"151","4","3",14,6,1985,"CERRADO_col7_gapfill_v1"
"152","12","3",1,6,1985,"CERRADO_col7_gapfill_v1"
"153","21","3",11,6,1985,"CERRADO_col7_gapfill_v1"
"154","25","3",0,6,1985,"CERRADO_col7_gapfill_v1"
"155","33","3",0,6,1985,"CERRADO_col7_gapfill_v1"
"156","3","4",44,6,1985,"CERRADO_col7_gapfill_v1"
"157","4","4",187,6,1985,"CERRADO_col7_gapfill_v1"
"158","12","4",23,6,1985,"CERRADO_col7_gapfill_v1"
"159","21","4",58,6,1985,"CERRADO_col7_gapfill_v1"
"160","25","4",0,6,1985,"CERRADO_col7_gapfill_v1"
"161","33","4",0,6,1985,"CERRADO_col7_gapfill_v1"
"162","3","12",5,6,1985,"CERRADO_col7_gapfill_v1"
"163","4","12",20,6,1985,"CERRADO_col7_gapfill_v1"
"164","12","12",3,6,1985,"CERRADO_col7_gapfill_v1"
"165","21","12",5,6,1985,"CERRADO_col7_gapfill_v1"
"166","25","12",0,6,1985,"CERRADO_col7_gapfill_v1"
"167","33","12",0,6,1985,"CERRADO_col7_gapfill_v1"
"168","3","21",19,6,1985,"CERRADO_col7_gapfill_v1"
"169","4","21",12,6,1985,"CERRADO_col7_gapfill_v1"
"170","12","21",1,6,1985,"CERRADO_col7_gapfill_v1"
"171","21","21",76,6,1985,"CERRADO_col7_gapfill_v1"
"172","25","21",0,6,1985,"CERRADO_col7_gapfill_v1"
"173","33","21",0,6,1985,"CERRADO_col7_gapfill_v1"
"174","3","25",0,6,1985,"CERRADO_col7_gapfill_v1"
"175","4","25",5,6,1985,"CERRADO_col7_gapfill_v1"
"176","12","25",1,6,1985,"CERRADO_col7_gapfill_v1"
"177","21","25",3,6,1985,"CERRADO_col7_gapfill_v1"
"178","25","25",0,6,1985,"CERRADO_col7_gapfill_v1"
"179","33","25",0,6,1985,"CERRADO_col7_gapfill_v1"
"180","3","33",0,6,1985,"CERRADO_col7_gapfill_v1"
"181","4","33",0,6,1985,"CERRADO_col7_gapfill_v1"
"182","12","33",0,6,1985,"CERRADO_col7_gapfill_v1"
"183","21","33",0,6,1985,"CERRADO_col7_gapfill_v1"
"184","25","33",0,6,1985,"CERRADO_col7_gapfill_v1"
"185","33","33",4,6,1985,"CERRADO_col7_gapfill_v1"
"186","3","3",37,7,1985,"CERRADO_col7_gapfill_v1"
"187","4","3",32,7,1985,"CERRADO_col7_gapfill_v1"
"188","12","3",0,7,1985,"CERRADO_col7_gapfill_v1"
"189","21","3",1,7,1985,"CERRADO_col7_gapfill_v1"
"190","25","3",0,7,1985,"CERRADO_col7_gapfill_v1"
"191","3","4",53,7,1985,"CERRADO_col7_gapfill_v1"
"192","4","4",644,7,1985,"CERRADO_col7_gapfill_v1"
"193","12","4",10,7,1985,"CERRADO_col7_gapfill_v1"
"194","21","4",11,7,1985,"CERRADO_col7_gapfill_v1"
"195","25","4",0,7,1985,"CERRADO_col7_gapfill_v1"
"196","3","12",3,7,1985,"CERRADO_col7_gapfill_v1"
"197","4","12",74,7,1985,"CERRADO_col7_gapfill_v1"
"198","12","12",5,7,1985,"CERRADO_col7_gapfill_v1"
"199","21","12",13,7,1985,"CERRADO_col7_gapfill_v1"
"200","25","12",0,7,1985,"CERRADO_col7_gapfill_v1"
"201","3","21",1,7,1985,"CERRADO_col7_gapfill_v1"
"202","4","21",9,7,1985,"CERRADO_col7_gapfill_v1"
"203","12","21",0,7,1985,"CERRADO_col7_gapfill_v1"
"204","21","21",5,7,1985,"CERRADO_col7_gapfill_v1"
"205","25","21",0,7,1985,"CERRADO_col7_gapfill_v1"
"206","3","25",0,7,1985,"CERRADO_col7_gapfill_v1"
"207","4","25",1,7,1985,"CERRADO_col7_gapfill_v1"
"208","12","25",0,7,1985,"CERRADO_col7_gapfill_v1"
"209","21","25",3,7,1985,"CERRADO_col7_gapfill_v1"
"210","25","25",0,7,1985,"CERRADO_col7_gapfill_v1"
"211","3","3",70,8,1985,"CERRADO_col7_gapfill_v1"
"212","4","3",29,8,1985,"CERRADO_col7_gapfill_v1"
"213","12","3",0,8,1985,"CERRADO_col7_gapfill_v1"
"214","21","3",0,8,1985,"CERRADO_col7_gapfill_v1"
"215","25","3",0,8,1985,"CERRADO_col7_gapfill_v1"
"216","33","3",0,8,1985,"CERRADO_col7_gapfill_v1"
"217","3","4",32,8,1985,"CERRADO_col7_gapfill_v1"
"218","4","4",266,8,1985,"CERRADO_col7_gapfill_v1"
"219","12","4",52,8,1985,"CERRADO_col7_gapfill_v1"
"220","21","4",28,8,1985,"CERRADO_col7_gapfill_v1"
"221","25","4",0,8,1985,"CERRADO_col7_gapfill_v1"
"222","33","4",0,8,1985,"CERRADO_col7_gapfill_v1"
"223","3","12",5,8,1985,"CERRADO_col7_gapfill_v1"
"224","4","12",71,8,1985,"CERRADO_col7_gapfill_v1"
"225","12","12",100,8,1985,"CERRADO_col7_gapfill_v1"
"226","21","12",13,8,1985,"CERRADO_col7_gapfill_v1"
"227","25","12",0,8,1985,"CERRADO_col7_gapfill_v1"
"228","33","12",0,8,1985,"CERRADO_col7_gapfill_v1"
"229","3","21",7,8,1985,"CERRADO_col7_gapfill_v1"
"230","4","21",8,8,1985,"CERRADO_col7_gapfill_v1"
"231","12","21",5,8,1985,"CERRADO_col7_gapfill_v1"
"232","21","21",16,8,1985,"CERRADO_col7_gapfill_v1"
"233","25","21",0,8,1985,"CERRADO_col7_gapfill_v1"
"234","33","21",0,8,1985,"CERRADO_col7_gapfill_v1"
"235","3","25",0,8,1985,"CERRADO_col7_gapfill_v1"
"236","4","25",0,8,1985,"CERRADO_col7_gapfill_v1"
"237","12","25",0,8,1985,"CERRADO_col7_gapfill_v1"
"238","21","25",2,8,1985,"CERRADO_col7_gapfill_v1"
"239","25","25",0,8,1985,"CERRADO_col7_gapfill_v1"
"240","33","25",0,8,1985,"CERRADO_col7_gapfill_v1"
"241","3","33",0,8,1985,"CERRADO_col7_gapfill_v1"
"242","4","33",0,8,1985,"CERRADO_col7_gapfill_v1"
"243","12","33",0,8,1985,"CERRADO_col7_gapfill_v1"
"244","21","33",0,8,1985,"CERRADO_col7_gapfill_v1"
"245","25","33",0,8,1985,"CERRADO_col7_gapfill_v1"
"246","33","33",1,8,1985,"CERRADO_col7_gapfill_v1"
