"","Prediction","Reference","Freq","region","year","file"
"164","3","33",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"165","4","33",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"166","12","33",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"167","21","33",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"168","25","33",0,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"169","33","33",5,5,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"170","3","3",168,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"171","4","3",17,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"172","12","3",1,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"173","21","3",10,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"174","25","3",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"175","33","3",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"176","3","4",45,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"177","4","4",193,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"178","12","4",24,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"179","21","4",63,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"180","25","4",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"181","33","4",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"182","3","12",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"183","4","12",16,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"184","12","12",4,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"185","21","12",6,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"186","25","12",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"187","33","12",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
