system:index,area,class_id,territory,year,.geo
0_9_0,95.7406042346803,211,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,80.36791090368651,212,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,176.22508821765055,213,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,93.92016877417001,214,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,2.662909965637208,1212,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,28.691747706848155,1213,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,69.8147659077753,1214,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,26.00008258404542,2223,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_8,27.603726660095223,2224,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_9,31.999371812011738,2234,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_10,11.729890266601565,13123,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_11,8.218754676025394,13124,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_12,1645.8903570053835,13134,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_13,37.579674113647485,23234,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_14,392.7143882752675,141234,10,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,9.84890189392092,211,11,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,2.925828851867677,213,11,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,8.17340615356445,214,11,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,1.6906415790405271,1213,11,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_4,3.3644172587890626,1214,11,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_5,2.44417879394531,2234,11,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_6,261.04371465778416,13134,11,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,13.136136613708514,211,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,139.1219007151512,212,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,112.78617933758696,213,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_3,162.3491737321776,214,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
